Cell	Percent.Mitochondria	hpca	nCount_RNA	nFeature_RNA	Lineage
Cell_1	6.2	Macrophage	16	4	Immune_cells
Cell_2	0	Neutrophils	6	2	Immune_cells
Cell_3	8.3	Neutrophils	12	5	Immune_cells
Cell_4	0	Neutrophils	15	4	Immune_cells
Cell_5	0	Neutrophils	11	3	Immune_cells
Cell_6	0	Neutrophils	8	2	Immune_cells
Cell_7	0	Osteoblasts	13	4	Stromal_cells
Cell_8	0	Neutrophils	8	3	Immune_cells
Cell_9	0	Neutrophils	14	3	Immune_cells
Cell_10	0	Neutrophils	10	2	Immune_cells
Cell_11	0	Neutrophils	13	5	Immune_cells
Cell_12	0	Neutrophils	10	3	Immune_cells
Cell_13	0	Neutrophils	2	2	Immune_cells
Cell_14	0	Neutrophils	7	1	Immune_cells
Cell_15	0	NK_cell	9	3	Immune_cells
Cell_16	0	Osteoblasts	2	2	Stromal_cells
Cell_17	0	Neutrophils	10	3	Immune_cells
Cell_18	0	Neutrophils	11	3	Immune_cells
Cell_19	0	Neutrophils	12	4	Immune_cells
Cell_20	0	Macrophage	15	5	Immune_cells
Cell_21	0	Neutrophils	7	3	Immune_cells
Cell_22	0	Neutrophils	10	4	Immune_cells
Cell_23	0	T_cells	18	18	Immune_cells
Cell_24	0	Neutrophils	12	4	Immune_cells
Cell_25	0	Osteoblasts	9	5	Stromal_cells
Cell_26	0	Neutrophils	10	5	Immune_cells
Cell_27	0	Neutrophils	13	4	Immune_cells
Cell_28	0	Neutrophils	13	13	Immune_cells
Cell_29	0	Neutrophils	17	4	Immune_cells
Cell_30	0	Neutrophils	9	3	Immune_cells
Cell_31	0	Macrophage	6	3	Immune_cells
Cell_32	0	Neutrophils	9	3	Immune_cells
Cell_33	0	Osteoblasts	7	3	Stromal_cells
Cell_34	0	Neutrophils	11	6	Immune_cells
Cell_35	0	Neurons	10	5	
Cell_36	0	Neutrophils	3	2	Immune_cells
Cell_37	0	Neutrophils	8	3	Immune_cells
Cell_38	0	Neutrophils	10	3	Immune_cells
Cell_39	0	Neutrophils	10	5	Immune_cells
Cell_40	0	Keratinocytes	7	5	
Cell_41	0	Neutrophils	18	4	Immune_cells
Cell_42	0	Neutrophils	19	5	Immune_cells
Cell_43	0	DC	3	3	
Cell_44	0	Neutrophils	9	4	Immune_cells
Cell_45	0	Neutrophils	15	9	Immune_cells
Cell_46	0	GMP	2	2	
Cell_47	1.8	Neutrophils	56	16	Immune_cells
Cell_48	0	Neutrophils	14	5	Immune_cells
Cell_49	0	Neutrophils	14	4	Immune_cells
Cell_50	0	Neutrophils	13	3	Immune_cells
Cell_51	0	Neutrophils	6	4	Immune_cells
Cell_52	0	Neutrophils	11	4	Immune_cells
Cell_53	0	Keratinocytes	10	4	
Cell_54	0	Neutrophils	5	4	Immune_cells
Cell_55	0	Neutrophils	11	3	Immune_cells
Cell_56	0	Neutrophils	12	4	Immune_cells
Cell_57	0	MSC	11	4	
Cell_58	0	Osteoblasts	8	5	Stromal_cells
Cell_59	0	Neutrophils	9	3	Immune_cells
Cell_60	0	Neuroepithelial_cell	2	1	
Cell_61	0	Neutrophils	12	7	Immune_cells
Cell_62	0	Neutrophils	3	2	Immune_cells
Cell_63	0	Neutrophils	8	3	Immune_cells
Cell_64	0	Osteoblasts	12	3	Stromal_cells
Cell_65	0	Neutrophils	11	5	Immune_cells
Cell_66	0	Neutrophils	8	4	Immune_cells
Cell_67	0	Neurons	4	1	
Cell_68	0	Neutrophils	8	4	Immune_cells
Cell_69	0	Macrophage	11	5	Immune_cells
Cell_70	0	Neutrophils	8	2	Immune_cells
Cell_71	0	Neutrophils	8	3	Immune_cells
Cell_72	0	Neutrophils	15	7	Immune_cells
Cell_73	0	Chondrocytes	3	3	Stromal_cells
Cell_74	0	Neutrophils	9	3	Immune_cells
Cell_75	0	Neutrophils	5	3	Immune_cells
Cell_76	0	Neutrophils	9	5	Immune_cells
Cell_77	0	Neutrophils	8	3	Immune_cells
Cell_78	0	Myelocyte	3	3	
Cell_79	0	Neutrophils	12	3	Immune_cells
Cell_80	0	Neutrophils	7	6	Immune_cells
Cell_81	0	Neutrophils	18	5	Immune_cells
Cell_82	0	Neutrophils	6	2	Immune_cells
Cell_83	0	Neutrophils	3	3	Immune_cells
Cell_84	0	Osteoblasts	11	7	Stromal_cells
Cell_85	0	Neutrophils	7	3	Immune_cells
Cell_86	0	NK_cell	5	3	Immune_cells
Cell_87	0	Neutrophils	4	2	Immune_cells
Cell_88	0	Neutrophils	15	4	Immune_cells
Cell_89	0	Neutrophils	11	3	Immune_cells
Cell_90	0	Neutrophils	7	2	Immune_cells
Cell_91	0	Neutrophils	8	4	Immune_cells
Cell_92	0	Neutrophils	10	3	Immune_cells
Cell_93	0	Neutrophils	7	4	Immune_cells
Cell_94	0	Neutrophils	7	7	Immune_cells
Cell_95	25	Neuroepithelial_cell	8	8	
Cell_96	100	Neuroepithelial_cell	3	2	
Cell_97	0	Neutrophils	9	5	Immune_cells
Cell_98	0	Neutrophils	11	5	Immune_cells
Cell_99	0	Neutrophils	3	3	Immune_cells
Cell_100	0	Neutrophils	6	2	Immune_cells
Cell_101	9.1	Neutrophils	11	3	Immune_cells
Cell_102	0	Neutrophils	21	5	Immune_cells
Cell_103	0	Neutrophils	7	2	Immune_cells
Cell_104	0	Neutrophils	8	3	Immune_cells
Cell_105	0	Neutrophils	5	3	Immune_cells
Cell_106	0	Neutrophils	13	4	Immune_cells
Cell_107	0	Neutrophils	10	4	Immune_cells
Cell_108	0	CMP	5	2	
Cell_109	0	Fibroblasts	15	6	Stromal_cells
Cell_110	0	Keratinocytes	15	5	
Cell_111	0	Neutrophils	11	3	Immune_cells
Cell_112	0	Astrocyte	4	3	
Cell_113	0	Keratinocytes	11	5	
Cell_114	0	Neutrophils	9	3	Immune_cells
Cell_115	0	Neutrophils	12	4	Immune_cells
Cell_116	0	Neutrophils	3	2	Immune_cells
Cell_117	0	Neutrophils	6	3	Immune_cells
Cell_118	0	Neutrophils	2	2	Immune_cells
Cell_119	0	Neutrophils	10	3	Immune_cells
Cell_120	0	T_cells	29	29	Immune_cells
Cell_121	0	Osteoblasts	11	6	Stromal_cells
Cell_122	0	Gametocytes	4	3	
Cell_123	0	Osteoblasts	12	6	Stromal_cells
Cell_124	0	Osteoblasts	13	3	Stromal_cells
Cell_125	0	Neutrophils	8	8	Immune_cells
Cell_126	0	Chondrocytes	104	35	Stromal_cells
Cell_127	0	Neutrophils	15	5	Immune_cells
Cell_128	0	Hepatocytes	14	7	
Cell_129	0	Neutrophils	4	1	Immune_cells
Cell_130	0	Neutrophils	12	6	Immune_cells
Cell_131	0	Neutrophils	7	4	Immune_cells
Cell_132	0	Hepatocytes	6	6	
Cell_133	0	Neutrophils	5	3	Immune_cells
Cell_134	0	Neutrophils	14	5	Immune_cells
Cell_135	0	Gametocytes	15	15	
Cell_136	0	Neutrophils	9	4	Immune_cells
Cell_137	0	Osteoblasts	16	16	Stromal_cells
Cell_138	0	Neutrophils	7	4	Immune_cells
Cell_139	0	Erythroblast	8	8	
Cell_140	0	Neutrophils	13	8	Immune_cells
Cell_141	0	Neutrophils	15	5	Immune_cells
Cell_142	0	Neutrophils	2	2	Immune_cells
Cell_143	0	Osteoblasts	14	5	Stromal_cells
Cell_144	0	Neutrophils	8	2	Immune_cells
Cell_145	0	Embryonic_stem_cells	7	4	
Cell_146	0	Neutrophils	7	3	Immune_cells
Cell_147	0	Neutrophils	13	3	Immune_cells
Cell_148	0	Neutrophils	5	1	Immune_cells
Cell_149	0	MSC	6	3	
Cell_150	0	Neutrophils	4	2	Immune_cells
Cell_151	0	Neutrophils	15	4	Immune_cells
Cell_152	0	Neutrophils	9	3	Immune_cells
Cell_153	0	NK_cell	9	4	Immune_cells
Cell_154	25	Neutrophils	4	3	Immune_cells
Cell_155	0	Neutrophils	19	6	Immune_cells
Cell_156	0	Neutrophils	11	2	Immune_cells
Cell_157	0	Neutrophils	21	7	Immune_cells
Cell_158	0	Neutrophils	10	2	Immune_cells
Cell_159	6.2	Neutrophils	16	5	Immune_cells
Cell_160	0	Neutrophils	5	3	Immune_cells
Cell_161	0	Neutrophils	9	3	Immune_cells
Cell_162	0	Neutrophils	6	3	Immune_cells
Cell_163	0	Neutrophils	9	3	Immune_cells
Cell_164	0	Osteoblasts	7	3	Stromal_cells
Cell_165	0	Neutrophils	8	4	Immune_cells
Cell_166	0	Macrophage	8	5	Immune_cells
Cell_167	0	Neutrophils	11	2	Immune_cells
Cell_168	0	Neutrophils	18	4	Immune_cells
Cell_169	0	Neutrophils	15	4	Immune_cells
Cell_170	0	NK_cell	8	3	Immune_cells
Cell_171	0	Neutrophils	9	4	Immune_cells
Cell_172	0	Neutrophils	8	3	Immune_cells
Cell_173	0	Neutrophils	4	2	Immune_cells
Cell_174	11.1	Neutrophils	9	4	Immune_cells
Cell_175	0	Astrocyte	13	7	
Cell_176	0	Endothelial_cells	72	68	Stromal_cells
Cell_177	0	Neutrophils	8	4	Immune_cells
Cell_178	0	Neutrophils	13	2	Immune_cells
Cell_179	0	Neutrophils	5	2	Immune_cells
Cell_180	0	Neutrophils	5	5	Immune_cells
Cell_181	0	Neutrophils	8	4	Immune_cells
Cell_182	0	Osteoblasts	12	7	Stromal_cells
Cell_183	0	Neutrophils	5	2	Immune_cells
Cell_184	0	Neutrophils	6	4	Immune_cells
Cell_185	9.2	NK_cell	3063	1629	Immune_cells
Cell_186	5.7	NK_cell	1035	793	Immune_cells
Cell_187	1.1	Epithelial_cells	718	467	Epithelial_cells
Cell_188	2.1	Fibroblasts	1988	1294	Stromal_cells
Cell_189	13.1	Epithelial_cells	789	557	Epithelial_cells
Cell_190	39.4	Epithelial_cells	5375	1750	Epithelial_cells
Cell_191	0.4	Epithelial_cells	1864	1100	Epithelial_cells
Cell_192	0.1	Smooth_muscle_cells	952	625	Stromal_cells
Cell_193	1.7	Epithelial_cells	3605	1792	Epithelial_cells
Cell_194	0.3	T_cells	1567	1036	Immune_cells
Cell_195	0.2	Fibroblasts	1626	1075	Stromal_cells
Cell_196	85.5	Chondrocytes	1202	173	Stromal_cells
Cell_197	0.9	T_cells	1003	667	Immune_cells
Cell_198	61.2	Astrocyte	531	205	
Cell_199	1.4	T_cells	1728	1171	Immune_cells
Cell_200	1.1	Epithelial_cells	1223	801	Epithelial_cells
Cell_201	0.2	Smooth_muscle_cells	1612	1083	Stromal_cells
Cell_202	6.4	Fibroblasts	1448	991	Stromal_cells
Cell_203	3.7	Fibroblasts	13349	4506	Stromal_cells
Cell_204	0.1	Epithelial_cells	1898	1144	Epithelial_cells
Cell_205	8.3	Endothelial_cells	1596	1032	Stromal_cells
Cell_206	0.1	Smooth_muscle_cells	1672	956	Stromal_cells
Cell_207	3.9	Epithelial_cells	39671	7267	Epithelial_cells
Cell_208	0.8	T_cells	1807	1221	Immune_cells
Cell_209	3.8	Smooth_muscle_cells	839	512	Stromal_cells
Cell_210	1.5	Fibroblasts	1555	842	Stromal_cells
Cell_211	0.7	Smooth_muscle_cells	1746	1171	Stromal_cells
Cell_212	3.6	Fibroblasts	824	589	Stromal_cells
Cell_213	2	Epithelial_cells	1666	1015	Epithelial_cells
Cell_214	11.8	Epithelial_cells	1947	1030	Epithelial_cells
Cell_215	0.5	Epithelial_cells	663	365	Epithelial_cells
Cell_216	1	Endothelial_cells	800	648	Stromal_cells
Cell_217	0.5	T_cells	1458	947	Immune_cells
Cell_218	3.6	Smooth_muscle_cells	1233	816	Stromal_cells
Cell_219	4	Epithelial_cells	1635	976	Epithelial_cells
Cell_220	3.6	Endothelial_cells	646	517	Stromal_cells
Cell_221	2.1	Macrophage	13308	4875	Immune_cells
Cell_222	1.3	Epithelial_cells	1817	1359	Epithelial_cells
Cell_223	0.1	Fibroblasts	1009	793	Stromal_cells
Cell_224	0.5	Endothelial_cells	584	500	Stromal_cells
Cell_225	1.9	Endothelial_cells	631	531	Stromal_cells
Cell_226	0.5	Fibroblasts	1310	929	Stromal_cells
Cell_227	1.2	Endothelial_cells	749	616	Stromal_cells
Cell_228	0.9	Neuroepithelial_cell	698	556	
Cell_229	0.1	Endothelial_cells	718	538	Stromal_cells
Cell_230	0.2	Endothelial_cells	650	490	Stromal_cells
Cell_231	2.9	Osteoblasts	1165	959	Stromal_cells
Cell_232	0.4	Epithelial_cells	484	416	Epithelial_cells
Cell_233	3.9	Epithelial_cells	1110	867	Epithelial_cells
Cell_234	1.3	Epithelial_cells	1527	1098	Epithelial_cells
Cell_235	1	Epithelial_cells	1334	1045	Epithelial_cells
Cell_236	0.4	Endothelial_cells	807	646	Stromal_cells
Cell_237	1.7	Endothelial_cells	588	487	Stromal_cells
Cell_238	31.2	Chondrocytes	660	413	Stromal_cells
Cell_239	2.1	Epithelial_cells	1591	1092	Epithelial_cells
Cell_240	1.2	Fibroblasts	898	732	Stromal_cells
Cell_241	1.4	Smooth_muscle_cells	554	495	Stromal_cells
Cell_242	0.5	iPS_cells	607	496	
Cell_243	1.1	Chondrocytes	948	643	Stromal_cells
Cell_244	1.6	Endothelial_cells	1935	1330	Stromal_cells
Cell_245	0.2	Fibroblasts	490	418	Stromal_cells
Cell_246	0	Fibroblasts	1123	875	Stromal_cells
Cell_247	0.9	Epithelial_cells	588	441	Epithelial_cells
Cell_248	0.8	Epithelial_cells	508	447	Epithelial_cells
Cell_249	1.5	Endothelial_cells	529	450	Stromal_cells
Cell_250	1.5	Chondrocytes	688	533	Stromal_cells
Cell_251	0.1	Endothelial_cells	733	549	Stromal_cells
Cell_252	0	Macrophage	542	417	Immune_cells
Cell_253	1.9	Epithelial_cells	2003	1440	Epithelial_cells
Cell_254	4.5	Hepatocytes	506	458	
Cell_255	6	Epithelial_cells	79036	9864	Epithelial_cells
Cell_256	8.7	Endothelial_cells	656	521	Stromal_cells
Cell_257	6.4	Epithelial_cells	1881	1344	Epithelial_cells
Cell_258	1.9	Endothelial_cells	941	770	Stromal_cells
Cell_259	0.4	Epithelial_cells	513	437	Epithelial_cells
Cell_260	0.7	Smooth_muscle_cells	841	676	Stromal_cells
Cell_261	1	Osteoblasts	506	421	Stromal_cells
Cell_262	7.5	Endothelial_cells	584	490	Stromal_cells
Cell_263	2.6	Endothelial_cells	501	433	Stromal_cells
Cell_264	1.1	Fibroblasts	1497	1052	Stromal_cells
Cell_265	1.4	Epithelial_cells	1327	986	Epithelial_cells
Cell_266	1.1	Smooth_muscle_cells	897	746	Stromal_cells
Cell_267	8.3	Fibroblasts	812	652	Stromal_cells
Cell_268	3.8	Epithelial_cells	1141	891	Epithelial_cells
Cell_269	2.2	T_cells	670	573	Immune_cells
Cell_270	3.2	Epithelial_cells	602	483	Epithelial_cells
Cell_271	0.4	Epithelial_cells	1699	1114	Epithelial_cells
Cell_272	0.8	Fibroblasts	638	458	Stromal_cells
Cell_273	3.2	Smooth_muscle_cells	801	641	Stromal_cells
Cell_274	1.3	Macrophage	926	755	Immune_cells
Cell_275	4.4	Smooth_muscle_cells	1202	895	Stromal_cells
Cell_276	2.3	Fibroblasts	511	432	Stromal_cells
Cell_277	0.5	Fibroblasts	1440	937	Stromal_cells
Cell_278	0	Chondrocytes	1591	1091	Stromal_cells
Cell_279	0.1	Macrophage	1417	885	Immune_cells
Cell_280	4.5	Epithelial_cells	602	500	Epithelial_cells
Cell_281	0.8	Epithelial_cells	1272	878	Epithelial_cells
Cell_282	3.1	Astrocyte	1050	811	
Cell_283	7	Endothelial_cells	1593	1151	Stromal_cells
Cell_284	0.6	Fibroblasts	1108	830	Stromal_cells
Cell_285	22	Epithelial_cells	560	376	Epithelial_cells
Cell_286	1.4	Astrocyte	974	757	
Cell_287	1.4	Platelets	489	437	
Cell_288	15.2	Epithelial_cells	528	406	Epithelial_cells
Cell_289	0.5	Fibroblasts	2444	1690	Stromal_cells
Cell_290	0	HSC_CD34+	694	542	
Cell_291	0.5	Fibroblasts	546	431	Stromal_cells
Cell_292	0.7	Platelets	551	447	
Cell_293	0.9	Fibroblasts	544	447	Stromal_cells
Cell_294	0	Epithelial_cells	564	421	Epithelial_cells
Cell_295	0.6	Fibroblasts	723	579	Stromal_cells
Cell_296	0.8	Epithelial_cells	1092	812	Epithelial_cells
Cell_297	0.9	Epithelial_cells	861	650	Epithelial_cells
Cell_298	15.8	Osteoblasts	1371	944	Stromal_cells
Cell_299	0.4	Endothelial_cells	488	423	Stromal_cells
Cell_300	0.2	Fibroblasts	525	381	Stromal_cells
Cell_301	4.9	Endothelial_cells	796	651	Stromal_cells
Cell_302	0.7	Endothelial_cells	1210	889	Stromal_cells
Cell_303	0.3	Smooth_muscle_cells	679	587	Stromal_cells
Cell_304	0.6	Smooth_muscle_cells	689	596	Stromal_cells
Cell_305	0.7	Epithelial_cells	675	548	Epithelial_cells
Cell_306	10.9	Astrocyte	834	630	
Cell_307	3.4	Neuroepithelial_cell	498	394	
Cell_308	0	Endothelial_cells	642	523	Stromal_cells
Cell_309	3.3	Smooth_muscle_cells	509	451	Stromal_cells
Cell_310	2.2	Osteoblasts	3079	2030	Stromal_cells
Cell_311	0.4	Endothelial_cells	1142	914	Stromal_cells
Cell_312	2.4	Endothelial_cells	551	475	Stromal_cells
Cell_313	2.6	Epithelial_cells	1003	791	Epithelial_cells
Cell_314	0.9	Epithelial_cells	575	475	Epithelial_cells
Cell_315	0.1	Fibroblasts	804	663	Stromal_cells
Cell_316	0.3	Fibroblasts	742	617	Stromal_cells
Cell_317	1.7	Epithelial_cells	1324	1022	Epithelial_cells
Cell_318	8.4	Epithelial_cells	1493	1063	Epithelial_cells
Cell_319	0.6	Fibroblasts	2003	1407	Stromal_cells
Cell_320	1.2	Fibroblasts	499	435	Stromal_cells
Cell_321	0.4	Fibroblasts	1926	1328	Stromal_cells
Cell_322	3.1	Smooth_muscle_cells	969	751	Stromal_cells
Cell_323	11.8	Epithelial_cells	808	639	Epithelial_cells
Cell_324	1.6	Osteoblasts	579	480	Stromal_cells
Cell_325	0.2	Neurons	820	600	
Cell_326	15.6	Fibroblasts	961	603	Stromal_cells
Cell_327	0	Macrophage	536	454	Immune_cells
Cell_328	3	Fibroblasts	877	751	Stromal_cells
Cell_329	1	Fibroblasts	631	554	Stromal_cells
Cell_330	4.7	Fibroblasts	910	711	Stromal_cells
Cell_331	2.8	Epithelial_cells	1553	1149	Epithelial_cells
Cell_332	4.6	Endothelial_cells	646	559	Stromal_cells
Cell_333	1.9	Epithelial_cells	788	649	Epithelial_cells
Cell_334	1.5	Neurons	660	558	
Cell_335	6.5	Endothelial_cells	3012	2075	Stromal_cells
Cell_336	12.7	Epithelial_cells	1683	1186	Epithelial_cells
Cell_337	0.5	Epithelial_cells	1573	1027	Epithelial_cells
Cell_338	1.2	Fibroblasts	818	643	Stromal_cells
Cell_339	3.1	NK_cell	778	658	Immune_cells
Cell_340	5	Epithelial_cells	1271	999	Epithelial_cells
Cell_341	4.6	Fibroblasts	547	407	Stromal_cells
Cell_342	0.5	Endothelial_cells	579	466	Stromal_cells
Cell_343	9.7	Endothelial_cells	1388	960	Stromal_cells
Cell_344	1	Fibroblasts	1146	863	Stromal_cells
Cell_345	0.8	Osteoblasts	1006	678	Stromal_cells
Cell_346	0.3	Endothelial_cells	1665	1195	Stromal_cells
Cell_347	0	Fibroblasts	531	422	Stromal_cells
Cell_348	0.9	T_cells	1997	1244	Immune_cells
Cell_349	0.2	Astrocyte	520	394	
Cell_350	0.3	Macrophage	621	494	Immune_cells
Cell_351	7	Epithelial_cells	761	591	Epithelial_cells
Cell_352	0.2	Fibroblasts	538	448	Stromal_cells
Cell_353	4	Epithelial_cells	1733	1317	Epithelial_cells
Cell_354	1.4	Fibroblasts	705	574	Stromal_cells
Cell_355	0.7	Neurons	1070	814	
Cell_356	5.2	Astrocyte	696	543	
Cell_357	1.2	Astrocyte	568	462	
Cell_358	0.4	Epithelial_cells	498	395	Epithelial_cells
Cell_359	3.9	Epithelial_cells	636	470	Epithelial_cells
Cell_360	7.6	Macrophage	1571	1179	Immune_cells
Cell_361	0.3	Smooth_muscle_cells	1021	786	Stromal_cells
Cell_362	1.1	Epithelial_cells	945	747	Epithelial_cells
Cell_363	1.2	Epithelial_cells	485	390	Epithelial_cells
Cell_364	2.2	Fibroblasts	1218	897	Stromal_cells
Cell_365	1.3	Osteoblasts	623	529	Stromal_cells
Cell_366	0.5	Epithelial_cells	1594	1096	Epithelial_cells
Cell_367	0.9	Fibroblasts	1058	829	Stromal_cells
Cell_368	0.4	Fibroblasts	484	402	Stromal_cells
Cell_369	1.4	Neurons	1912	1320	
Cell_370	0.6	Fibroblasts	1266	995	Stromal_cells
Cell_371	1	Chondrocytes	794	579	Stromal_cells
Cell_372	2.5	Endothelial_cells	1946	1314	Stromal_cells
Cell_373	0.9	Fibroblasts	749	642	Stromal_cells
Cell_374	2.6	Fibroblasts	811	662	Stromal_cells
Cell_375	0.2	Endothelial_cells	621	499	Stromal_cells
Cell_376	15.3	Endothelial_cells	603	457	Stromal_cells
Cell_377	2.7	Osteoblasts	1379	1046	Stromal_cells
Cell_378	1.2	Fibroblasts	649	554	Stromal_cells
Cell_379	0.3	Astrocyte	729	569	
Cell_380	2	Endothelial_cells	506	423	Stromal_cells
Cell_381	1	Smooth_muscle_cells	493	400	Stromal_cells
Cell_382	2.1	Endothelial_cells	724	604	Stromal_cells
Cell_383	0.3	Hepatocytes	665	535	
Cell_384	0.5	Neurons	596	522	
Cell_385	0.3	Epithelial_cells	661	563	Epithelial_cells
Cell_386	0.6	Fibroblasts	1156	960	Stromal_cells
Cell_387	0.8	Epithelial_cells	1034	820	Epithelial_cells
Cell_388	2.3	Epithelial_cells	1047	843	Epithelial_cells
Cell_389	1.4	Epithelial_cells	504	405	Epithelial_cells
Cell_390	2.7	Neurons	754	631	
Cell_391	0	Neuroepithelial_cell	641	460	
Cell_392	1.4	Epithelial_cells	490	396	Epithelial_cells
Cell_393	2.8	Osteoblasts	5173	2936	Stromal_cells
Cell_394	3.4	Osteoblasts	583	494	Stromal_cells
Cell_395	0.7	Endothelial_cells	1961	1388	Stromal_cells
Cell_396	1.1	Osteoblasts	704	572	Stromal_cells
Cell_397	0.8	Fibroblasts	891	731	Stromal_cells
Cell_398	8.4	Epithelial_cells	1759	1226	Epithelial_cells
Cell_399	1.6	Fibroblasts	1201	997	Stromal_cells
Cell_400	5.1	Endothelial_cells	1080	820	Stromal_cells
Cell_401	0.3	Smooth_muscle_cells	707	555	Stromal_cells
Cell_402	0.9	Fibroblasts	577	465	Stromal_cells
Cell_403	1.5	Endothelial_cells	2000	1406	Stromal_cells
Cell_404	3	Epithelial_cells	756	628	Epithelial_cells
Cell_405	0.2	Endothelial_cells	827	636	Stromal_cells
Cell_406	2.4	Fibroblasts	900	760	Stromal_cells
Cell_407	0.5	Smooth_muscle_cells	588	484	Stromal_cells
Cell_408	1.7	Smooth_muscle_cells	1022	757	Stromal_cells
Cell_409	0.2	Neurons	586	440	
Cell_410	1	Epithelial_cells	1018	795	Epithelial_cells
Cell_411	0.1	Astrocyte	1022	765	
Cell_412	0	Smooth_muscle_cells	504	417	Stromal_cells
Cell_413	2.3	Epithelial_cells	1427	1111	Epithelial_cells
Cell_414	0.3	Fibroblasts	880	644	Stromal_cells
Cell_415	1	Epithelial_cells	690	581	Epithelial_cells
Cell_416	3	Epithelial_cells	1708	1256	Epithelial_cells
Cell_417	0.8	Smooth_muscle_cells	1765	1205	Stromal_cells
Cell_418	0.9	Epithelial_cells	1724	1292	Epithelial_cells
Cell_419	1.3	Osteoblasts	1717	1271	Stromal_cells
Cell_420	0.7	Epithelial_cells	751	573	Epithelial_cells
Cell_421	0.3	NK_cell	979	742	Immune_cells
Cell_422	0.4	Hepatocytes	1263	904	
Cell_423	3.1	Epithelial_cells	1683	1288	Epithelial_cells
Cell_424	2.7	Gametocytes	854	718	
Cell_425	2	Endothelial_cells	1371	978	Stromal_cells
Cell_426	0.4	Endothelial_cells	1480	1093	Stromal_cells
Cell_427	1.4	Endothelial_cells	1740	1186	Stromal_cells
Cell_428	4.2	Epithelial_cells	576	471	Epithelial_cells
Cell_429	0	Epithelial_cells	512	428	Epithelial_cells
Cell_430	1	Smooth_muscle_cells	909	662	Stromal_cells
Cell_431	0	Fibroblasts	644	495	Stromal_cells
Cell_432	1	Epithelial_cells	1827	1368	Epithelial_cells
Cell_433	2.6	Epithelial_cells	1174	899	Epithelial_cells
Cell_434	0.9	Smooth_muscle_cells	544	484	Stromal_cells
Cell_435	0.7	Smooth_muscle_cells	603	528	Stromal_cells
Cell_436	0.9	Endothelial_cells	579	473	Stromal_cells
Cell_437	0.1	Endothelial_cells	1470	1018	Stromal_cells
Cell_438	0.3	Fibroblasts	781	637	Stromal_cells
Cell_439	0.6	Neurons	838	623	
Cell_440	0.6	Endothelial_cells	478	400	Stromal_cells
Cell_441	0.7	Epithelial_cells	1017	798	Epithelial_cells
Cell_442	0.4	Chondrocytes	721	552	Stromal_cells
Cell_443	1.2	Epithelial_cells	1327	1015	Epithelial_cells
Cell_444	0	Fibroblasts	512	395	Stromal_cells
Cell_445	3	Epithelial_cells	542	449	Epithelial_cells
Cell_446	0.1	Smooth_muscle_cells	752	568	Stromal_cells
Cell_447	10.6	Osteoblasts	601	438	Stromal_cells
Cell_448	0	Fibroblasts	500	408	Stromal_cells
Cell_449	0.4	Osteoblasts	848	557	Stromal_cells
Cell_450	0	Osteoblasts	1058	832	Stromal_cells
Cell_451	2	Epithelial_cells	934	744	Epithelial_cells
Cell_452	1.2	Epithelial_cells	909	784	Epithelial_cells
Cell_453	2	Chondrocytes	812	648	Stromal_cells
Cell_454	8.9	Osteoblasts	1968	1304	Stromal_cells
Cell_455	2.9	Neuroepithelial_cell	617	528	
Cell_456	0.4	Endothelial_cells	571	455	Stromal_cells
Cell_457	8.4	Epithelial_cells	1354	920	Epithelial_cells
Cell_458	1.3	Endothelial_cells	691	577	Stromal_cells
Cell_459	0.5	Fibroblasts	849	637	Stromal_cells
Cell_460	0.1	Osteoblasts	1002	757	Stromal_cells
Cell_461	0.7	Epithelial_cells	550	468	Epithelial_cells
Cell_462	1.4	Epithelial_cells	571	468	Epithelial_cells
Cell_463	2.7	Fibroblasts	1494	1174	Stromal_cells
Cell_464	3.2	Smooth_muscle_cells	713	602	Stromal_cells
Cell_465	4.7	Epithelial_cells	1627	1196	Epithelial_cells
Cell_466	13.8	Osteoblasts	661	521	Stromal_cells
Cell_467	1	Epithelial_cells	1671	1203	Epithelial_cells
Cell_468	0.5	Epithelial_cells	1664	1248	Epithelial_cells
Cell_469	0.5	Endothelial_cells	580	509	Stromal_cells
Cell_470	6.9	MSC	568	478	
Cell_471	2.3	Smooth_muscle_cells	871	663	Stromal_cells
Cell_472	8.3	Endothelial_cells	2823	1902	Stromal_cells
Cell_473	2.7	Osteoblasts	4866	2875	Stromal_cells
Cell_474	0.2	Fibroblasts	518	427	Stromal_cells
Cell_475	1.4	Fibroblasts	717	569	Stromal_cells
Cell_476	0.9	Fibroblasts	1012	784	Stromal_cells
Cell_477	0.4	Endothelial_cells	947	709	Stromal_cells
Cell_478	0.2	Epithelial_cells	1021	736	Epithelial_cells
Cell_479	3.8	Fibroblasts	610	485	Stromal_cells
Cell_480	0.3	Epithelial_cells	689	527	Epithelial_cells
Cell_481	3.5	Fibroblasts	1168	867	Stromal_cells
Cell_482	1.1	Epithelial_cells	1896	1273	Epithelial_cells
Cell_483	2.2	Endothelial_cells	1581	1136	Stromal_cells
Cell_484	0.4	Chondrocytes	758	600	Stromal_cells
Cell_485	9.3	Endothelial_cells	1507	1139	Stromal_cells
Cell_486	0.1	Endothelial_cells	1504	1108	Stromal_cells
Cell_487	0.1	Chondrocytes	1480	1051	Stromal_cells
