Cell	Percent.Mitochondria	hpca	nCount_RNA	nFeature_RNA	Lineage
Cell_7757	1	Fibroblasts	867	685	Stromal_cells
Cell_7758	1.1	Fibroblasts	657	544	Stromal_cells
Cell_7759	0.7	Fibroblasts	1603	1170	Stromal_cells
Cell_7760	1.3	Embryonic_stem_cells	703	574	
Cell_7761	0.3	Smooth_muscle_cells	750	591	Stromal_cells
Cell_7762	0.2	Smooth_muscle_cells	1281	981	Stromal_cells
Cell_7763	0.5	Chondrocytes	926	721	Stromal_cells
Cell_7764	0.3	Epithelial_cells	1959	1196	Epithelial_cells
Cell_7765	0.5	Fibroblasts	1374	976	Stromal_cells
Cell_7766	0.2	Epithelial_cells	1723	1057	Epithelial_cells
Cell_7767	0.9	DC	922	673	
Cell_7768	1.8	Fibroblasts	920	706	Stromal_cells
Cell_7769	0.4	Fibroblasts	917	705	Stromal_cells
Cell_7770	0.4	Chondrocytes	935	734	Stromal_cells
Cell_7771	1.2	Fibroblasts	655	554	Stromal_cells
Cell_7772	0.9	Epithelial_cells	797	648	Epithelial_cells
Cell_7773	0.4	Fibroblasts	970	767	Stromal_cells
Cell_7774	0.4	Chondrocytes	1465	1053	Stromal_cells
Cell_7775	0.4	Epithelial_cells	1178	863	Epithelial_cells
Cell_7776	0.9	Fibroblasts	869	688	Stromal_cells
Cell_7777	0.4	Neurons	744	600	
Cell_7778	0.4	Smooth_muscle_cells	838	679	Stromal_cells
Cell_7779	0.1	Fibroblasts	686	549	Stromal_cells
Cell_7780	0.6	Fibroblasts	1138	907	Stromal_cells
Cell_7781	0.5	Neuroepithelial_cell	1066	778	
Cell_7782	1.3	Fibroblasts	765	606	Stromal_cells
Cell_7783	0.3	Neurons	1523	1113	
Cell_7784	0.6	Fibroblasts	1012	794	Stromal_cells
Cell_7785	0.2	Fibroblasts	980	767	Stromal_cells
Cell_7786	0.4	Fibroblasts	891	683	Stromal_cells
Cell_7787	0.4	Smooth_muscle_cells	1398	913	Stromal_cells
Cell_7788	0.6	Embryonic_stem_cells	802	620	
Cell_7789	0.5	Epithelial_cells	798	616	Epithelial_cells
Cell_7790	0.3	Epithelial_cells	1270	895	Epithelial_cells
Cell_7791	0.6	Neuroepithelial_cell	688	515	
Cell_7792	1.2	Smooth_muscle_cells	756	591	Stromal_cells
Cell_7793	1.1	Smooth_muscle_cells	1082	852	Stromal_cells
Cell_7794	0.4	Fibroblasts	1749	1168	Stromal_cells
Cell_7795	1	Epithelial_cells	688	553	Epithelial_cells
Cell_7796	0.3	Epithelial_cells	8184	3463	Epithelial_cells
Cell_7797	0.3	Smooth_muscle_cells	1837	1263	Stromal_cells
Cell_7798	0.2	Smooth_muscle_cells	1717	1177	Stromal_cells
Cell_7799	1.4	Embryonic_stem_cells	1652	1105	
Cell_7800	0.5	Smooth_muscle_cells	1357	1035	Stromal_cells
Cell_7801	0.4	Osteoblasts	1991	1356	Stromal_cells
Cell_7802	0.6	Chondrocytes	1001	775	Stromal_cells
Cell_7803	1.2	Fibroblasts	757	593	Stromal_cells
Cell_7804	0.6	MSC	1410	999	
Cell_7805	0.3	Fibroblasts	1347	873	Stromal_cells
Cell_7806	0.5	Epithelial_cells	732	590	Epithelial_cells
Cell_7807	0.6	Chondrocytes	695	569	Stromal_cells
Cell_7808	0.4	Neurons	1135	893	
Cell_7809	0.2	Epithelial_cells	1712	1169	Epithelial_cells
Cell_7810	1.1	Fibroblasts	887	711	Stromal_cells
Cell_7811	0.2	Chondrocytes	1222	881	Stromal_cells
Cell_7812	0.4	Endothelial_cells	2386	1658	Stromal_cells
Cell_7813	0	NK_cell	724	622	Immune_cells
Cell_7814	0	Macrophage	4683	2554	Immune_cells
Cell_7815	0.1	Smooth_muscle_cells	1447	998	Stromal_cells
Cell_7816	0	T_cells	791	648	Immune_cells
Cell_7817	0.8	Tissue_stem_cells	1564	1091	
